"dates","sleeps"
"2015-08-05","12:15 PM - 01:05 PM"
"2015-08-06","12:00 PM - 01:15 PM"
"2015-08-07","08:33 AM - 08:50 AM; 11:05 AM - 12:55 PM"
"2015-08-10","08:35 AM - 08:50 AM; 01:20 PM - 02:20 PM"
"2015-08-11","08:39 AM - 09:06 AM; 02:10 PM - 03:20 PM"
"2015-08-12","08:41 AM - 09:00 AM; 01:00 PM - 03:00 PM"
"2015-08-13","08:40 AM - 09:16 AM; 01:45 PM - 03:00 PM"
"2015-08-14","10:20 AM - 11:15 AM; 03:20 PM - 04:18 PM"
"2015-08-17","10:20 AM - 11:21 AM"
"2015-08-18","08:39 AM - 08:50 AM; 12:30 PM - 02:00 PM"
"2015-08-19","08:25 AM - 09:05 AM; 12:40 PM - 02:21 PM"
"2015-08-20","08:50 AM - 09:25 AM; 12:20 PM - 02:17 PM"
"2015-08-21","12:05 PM - 01:15 PM"
"2015-08-24","10:50 AM - 12:15 PM"
"2015-08-25","08:35 AM - 09:05 AM; 11:15 AM - 12:30 PM"
"2015-08-26","08:40 AM - 09:16 AM; 12:25 PM - 02:58 PM"
"2015-08-27","08:28 AM - 08:40 AM; 12:20 PM - 12:20 PM"
"2015-07-02","10:30 AM - 12:00 PM; 02:15 PM - 03:00 PM"
"2015-07-06","10:35 AM - 11:15 AM; 02:35 PM - 03:30 PM"
"2015-07-07","08:28 AM - 08:50 AM; 10:30 AM - 12:05 PM; 03:30 PM - 04:10 PM"
"2015-07-08","08:24 AM - 08:40 AM; 10:35 AM - 11:35 AM; 02:40 PM - 03:18 PM"
"2015-07-09","09:52 AM - 10:37 AM; 12:50 PM - 01:55 PM"
"2015-07-13","08:30 AM - 09:07 AM; 12:20 PM - 01:49 PM"
"2015-07-14","10:20 AM - 11:50 AM; 02:30 PM - 03:15 PM"
"2015-07-15","10:15 AM - 11:10 AM; 02:46 PM - 03:00 PM"
"2015-07-16","11:40 AM - 12:40 PM; 04:00 PM - 04:37 PM"
"2015-07-17","11:15 AM - 11:20 AM; 02:40 PM - 03:30 PM"
"2015-07-20","10:40 AM - 11:25 AM"
"2015-07-21","10:40 AM - 11:40 AM"
"2015-07-22","11:00 AM - 12:00 PM"
"2015-07-23","01:05 PM - 02:25 PM"
"2015-07-24","08:38 AM - 08:58 AM; 11:55 AM - 12:50 PM"
"2015-07-27","08:38 AM - 08:50 AM; 12:30 PM - 01:43 PM"
"2015-06-04","11:30 AM - 12:30 PM; 03:50 PM - 04:45 PM"
"2015-06-05","10:40 AM - 11:40 AM"
"2015-06-08","10:10 AM - 12:10 PM; 03:00 PM - 03:50 PM"
"2015-06-09","08:30 AM - 09:00 AM; 11:00 AM - 12:35 PM; 04:02 PM - 04:36 PM"
"2015-06-10","11:45 AM - 12:25 PM; 03:10 PM - 04:15 PM"
"2015-06-11","11:15 AM - 01:00 PM; 03:50 PM - 04:30 PM"
"2015-06-12","11:30 AM - 01:35 PM; 04:15 PM - 04:31 PM"
"2015-06-18","10:55 AM - 12:00 PM; 03:38 PM - 04:30 PM"
"2015-06-19","11:35 AM - 01:35 PM"
"2015-06-22","10:45 AM - 11:50 AM; 02:55 PM - 03:50 PM"
"2015-06-23","10:22 AM - 12:05 AM; 02:45 PM - 03:57 PM"
"2015-06-24","10:50 AM - 12:10 PM; 03:30 PM - 04:23 PM"
"2015-06-25","10:09 AM - 11:45 AM; 02:56 PM - 04:47 PM"
"2015-06-26","09:40 AM - 10:15 AM"
"2015-06-29","11:05 AM - 12:35 PM; 02:50 PM - 04:00 PM"
"2015-06-30","10:34 AM - 12:30 PM; 03:03 PM - 03:45 PM"
"2015-07-01","11:00 AM - 01:45 PM"
"2015-05-06","10:05 AM - 12:50 PM; 02:15 PM - 02:50 PM"
"2015-05-07","12:45 PM - 01:42 PM"
"2015-05-08","10:40 AM - 11:20 AM; 01:25 PM - 02:35 PM"
"2015-05-11","11:35 AM - 01:50 PM"
"2015-05-12","09:30 AM - 10:20 AM; 12:20 PM - 01:10 PM"
"2015-05-13","10:40 AM - 12:20 PM; 02:50 PM - 03:40 PM"
"2015-05-14","10:15 AM - 10:45 AM; 11:50 AM - 01:20 PM"
"2015-05-15","10:45 AM - 11:25 AM; 01:45 PM - 03:45 PM"
"2015-05-18","10:50 AM - 11:20 AM; 02:30 PM - 02:30 PM"
"2015-05-19","12:05 PM - 12:55 PM; 03:00 PM - 04:00 PM"
"2015-05-20","12:25 PM - 01:30 PM; 03:10 PM - 03:25 PM"
"2015-05-21","10:30 AM - 12:00 PM; 03:35 PM - 04:15 PM"
"2015-05-22","10:40 AM - 12:15 PM; 03:50 PM - 04:40 PM"
"2015-05-26","10:41 AM - 11:30 AM; 03:50 PM - 04:20 PM"
"2015-05-27","11:00 AM - 12:25 PM; 02:55 PM - 03:57 PM"
"2015-05-28","11:00 AM - 11:59 AM; 03:15 PM - 03:50 PM"
"2015-05-29","10:40 AM - 11:25 AM; 02:50 PM - 03:30 PM"
"2015-06-01","10:40 AM - 12:05 AM; 02:58 PM - 03:30 PM"
